quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds,spread_baa_10y,credit_real_estate_ratio,mortgage_rate,cpi,pce,employment,industrial_production,treasury_1y,djia
1985:Q1,8.96497677376013,3.990390464502159,8.52,7.023163051488725,1.3008499358541747,5.109999999999999,2.039999999999999,-0.10884447325124731,13.29,4.6709579265260945,3.9652224818957236,11.58048130442106,4.032880421441547,9.49,1.7890547308144986
1985:Q2,8.973744239082093,3.9962906217467125,6.95,7.040052034756152,1.2992078033373267,4.87,2.1500000000000004,-0.10761540087899231,12.15,4.677490847567717,3.9717625297790047,11.575947211386385,4.03229361118159,7.71,1.7921399284536543
1985:Q3,8.988907856005758,4.002905214405278,7.1,7.033211026182168,1.3120107049344605,4.5600000000000005,2.17,-0.11121433223735584,12.17,4.683056724645162,3.97919555446636,11.58670552622419,4.034210549204152,7.99,1.7969379756872146
1985:Q4,8.996305213025964,4.00809653017421,7.1,7.069406331984031,1.3088697378439453,3.3100000000000005,2.58,-0.11257297598738054,11.09,4.695924549256556,3.9871304779149512,11.591884508769029,4.043854453966125,7.6,1.8136071565791057
1986:Q1,9.005601412338077,4.0130079622753145,6.56,7.069112784287868,1.3345470655298162,3.0199999999999996,3.1100000000000003,-0.1100399785583776,10.1,4.692264892839025,3.98952093944853,11.597606629121495,4.034983724826952,6.72,1.846336212762753
1986:Q2,9.010095141546502,4.016509138925284,6.21,7.051499715472494,1.3598365263528194,3.42,2.99,-0.11031858274623656,10.62,4.695010889987881,3.9930129566325325,11.604373651414656,4.034198159374078,6.41,1.8699232980075022
1986:Q3,9.019615606917474,4.021254021027869,5.21,7.024232573640773,1.358864702851016,4.31,2.749999999999999,-0.10432575952892088,10.1,4.700480365792417,3.9977785942457693,11.609008073647272,4.04047250709086,5.82,1.867035053095602
1986:Q4,9.024974184996003,4.027171462517068,5.53,7.027221341997533,1.364999306804979,3.0600000000000005,2.74,-0.09985937077577164,9.29,4.707726774313183,4.002704306666915,11.614832022576538,4.058066049881336,5.95,1.8714190931560584
1987:Q1,9.032397215980847,4.032947767356777,5.59,7.053850169321713,1.3918900909185057,3.4799999999999995,2.0999999999999996,-0.10183480424162704,9.03,4.720282993088596,4.013514044307552,11.620954417182327,4.0693002211158396,6.15,1.9057815676418002
1987:Q2,9.043128092982771,4.039712366569035,5.67,7.054371071279962,1.4021319305827318,3.789999999999999,2.139999999999999,-0.10864267704021119,10.35,4.7318028369214575,4.023546490913385,11.628448170225694,4.086663471361865,6.77,1.9187126212450385
1987:Q3,9.051766591311273,4.047392707326309,6.4,7.0545161498774105,1.4241575059490879,4.090000000000001,1.6799999999999997,-0.10663119133643874,11.02,4.742320024135325,4.033160408897103,11.634337463523888,4.104408747979692,7.92,1.9394964710925473
1987:Q4,9.0687998488636,4.054875818311734,5.77,7.1204330546243195,1.3634438277482692,4.52,2.459999999999999,-0.10685935242566162,10.61,4.750135956238277,4.0400819514941775,11.642136287358912,4.129051900275834,7.1,1.8805169136461517
1988:Q1,9.073947747070628,4.06257865945845,5.7,7.071237144707974,1.3659670092612746,3.99,2,-0.10938702789289487,9.99,4.757891273005756,4.048858932060969,11.644278236121483,4.135835133195302,6.76,1.868659455653214
1988:Q2,9.08699690573915,4.072507867612926,6.46,7.094784072665494,1.3666723693185294,3.49,2.1799999999999997,-0.10755755569919477,10.4,4.770684624465665,4.060856718061111,11.65205242317691,4.142853734536066,7.5,1.8707615162973383
1988:Q3,9.092839796424188,4.084681356811144,7.24,7.100324152227641,1.372414419464298,2.710000000000001,2.030000000000001,-0.10942350205422129,10.42,4.783316371371566,4.073529422508181,11.655778277853816,4.14470492156105,8.13,1.8706069536399093
1988:Q4,9.106079251761658,4.093844437180419,8.07,7.115469203480736,1.3755051848126805,1.8900000000000006,1.5099999999999998,-0.10547866756946905,10.77,4.793308128103486,4.08222137241979,11.6622416201502,4.156118327441837,9.02,1.871563830901268
1989:Q1,9.116194514085954,4.103419922941773,8.82,7.1488471904817565,1.3879431027087785,0.8200000000000003,1.3699999999999992,-0.10296008733871834,11.19,4.805659046737495,4.094377894999891,11.670117230291716,4.1568356763516245,9.64,1.8825028041267418
