quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds
1985:Q1,8.96497677376013,3.990390464502159,8.52,7.023163051488725,1.3008499358541747,5.109999999999999
1985:Q2,8.973744239082093,3.9962906217467125,6.95,7.040052034756152,1.2992078033373267,4.87
1985:Q3,8.988907856005758,4.002905214405278,7.1,7.033211026182168,1.3120107049344605,4.5600000000000005
1985:Q4,8.996305213025964,4.00809653017421,7.1,7.069406331984031,1.3088697378439453,3.3100000000000005
1986:Q1,9.005601412338077,4.0130079622753145,6.56,7.069112784287868,1.3345470655298162,3.0199999999999996
1986:Q2,9.010095141546502,4.016509138925284,6.21,7.051499715472494,1.3598365263528194,3.42
1986:Q3,9.019615606917474,4.021254021027869,5.21,7.024232573640773,1.358864702851016,4.31
1986:Q4,9.024974184996003,4.027171462517068,5.53,7.027221341997533,1.364999306804979,3.0600000000000005
1987:Q1,9.032397215980847,4.032947767356777,5.59,7.053850169321713,1.3918900909185057,3.4799999999999995
1987:Q2,9.043128092982771,4.039712366569035,5.67,7.054371071279962,1.4021319305827318,3.789999999999999
1987:Q3,9.051766591311273,4.047392707326309,6.4,7.0545161498774105,1.4241575059490879,4.090000000000001
1987:Q4,9.0687998488636,4.054875818311734,5.77,7.1204330546243195,1.3634438277482692,4.52
1988:Q1,9.073947747070628,4.06257865945845,5.7,7.071237144707974,1.3659670092612746,3.99
1988:Q2,9.08699690573915,4.072507867612926,6.46,7.094784072665494,1.3666723693185294,3.49
1988:Q3,9.092839796424188,4.084681356811144,7.24,7.100324152227641,1.372414419464298,2.710000000000001
1988:Q4,9.106079251761658,4.093844437180419,8.07,7.115469203480736,1.3755051848126805,1.8900000000000006
1989:Q1,9.116194514085954,4.103419922941773,8.82,7.1488471904817565,1.3879431027087785,0.8200000000000003
1989:Q2,9.123801610558944,4.1141798687228714,8.15,7.13912728352913,1.3940592087231485,0.5
1989:Q3,9.131178109929952,4.121570548475692,7.75,7.130108117765573,1.4185538967341131,0.8900000000000006
1989:Q4,9.133146103644707,4.128375549965018,7.63,7.1226626055236055,1.4121786669894305,1.370000000000001
1990:Q1,9.14401892904439,4.139206385634031,7.9,7.132543876465627,1.4003411142817104,1.9300000000000015
1990:Q2,9.147645483636104,4.150330993262128,7.73,7.132856113567122,1.3978436834479053,1.9300000000000015
1990:Q3,9.14830538105665,4.158945581406629,7.36,7.113280535607727,1.412702300480021,2.4400000000000013
1990:Q4,9.139155814785495,4.166556690780449,6.74,7.055713108348132,1.3721228644402172,3.12
1991:Q1,9.13447393154606,4.176231721694285,5.91,7.021872938681261,1.3984947525673428,3.9699999999999998
1991:Q2,9.142232822761505,4.18340799896286,5.57,7.021869370062976,1.41699277849271,4.0600000000000005
1991:Q3,9.147272768508607,4.1910477107887445,5.22,7.041475528772023,1.4222017834872636,4.06
1991:Q4,9.150760204527339,4.196840980265277,4.07,7.0763201449172675,1.4230786082401594,4.83
1992:Q1,9.162651101600742,4.200849422867372,4.04,7.057674160224146,1.4314251646388076,5.27
1992:Q2,9.17343776992604,4.20679488569179,3.66,7.11268597863695,1.4329574402468526,5.290000000000001
