"variable","posterior_sigma_mean"
"gdp",2.06371392141123e-05
"gdp_deflator",2.12242431239114e-06
"tbill_3m",0.105024166222056
"investment",0.000177235489847649
"sp500",0.000140628717281108
"spread_baa_fedfunds",0.0969593766719473
"spread_baa_10y",0.0572196337097289
"credit_real_estate_ratio",5.18426810747702e-05
"mortgage_rate",0.0293796335189578
"cpi",1.11743143926483e-05
"pce",8.73010032353379e-07
"employment",6.33566089837671e-06
"industrial_production",4.38347358089918e-05
"treasury_1y",0.0152314798439014
"djia",2.10931809065918e-05
