"shock","response","horizon","q10","median","q90"
"inflation","inflation",1,1,1,1
"inflation","inflation",2,1.42735544608923,1.51785250769095,1.61466037212477
"inflation","inflation",3,1.63955335198565,1.80242212339383,1.98732639204571
"inflation","inflation",4,1.69506867217439,1.92251919671686,2.18279624915191
"inflation","inflation",5,1.66418108140484,1.95578533911064,2.28495926032942
"inflation","inflation",6,1.59325801128652,1.93046793305379,2.33221565293272
"inflation","inflation",7,1.53063161283632,1.89952018028627,2.35379182043072
"inflation","inflation",8,1.46656090685566,1.84612031314491,2.33650855576324
"inflation","inflation",9,1.38582488408104,1.77972914372996,2.30145284388871
"inflation","inflation",10,1.29557389518545,1.69495388216069,2.23764514652348
"inflation","inflation",11,1.18384703290106,1.59807104845997,2.16908503328104
"inflation","inflation",12,1.06845896326206,1.49430457380578,2.08705215165837
"inflation","inflation",13,0.956362667069002,1.39212943776387,2.002034682336
"inflation","inflation",14,0.84706148165432,1.29476559357469,1.92077342972657
"inflation","inflation",15,0.740662563103622,1.19742387710028,1.84992855159421
"inflation","inflation",16,0.63740463623616,1.1031590899247,1.78027689845106
"inflation","inflation",17,0.539727652722174,1.01692718215302,1.70056499465101
"inflation","inflation",18,0.458512495506542,0.936333453130212,1.62973572846189
"inflation","inflation",19,0.384211982147336,0.850455416499296,1.56779203487228
"inflation","inflation",20,0.310480483000553,0.78028149251863,1.50979253947129
"inflation","inflation",21,0.244035794330649,0.718845648337678,1.45634209145803
"inflation","inflation",22,0.191105629746397,0.661136198311181,1.40732615458444
"inflation","inflation",23,0.129288563452797,0.605740001894104,1.3541798656441
"inflation","inflation",24,0.0842919074624112,0.553736219462987,1.29909205509295
"inflation","unemployment",1,-0.162490247414313,-0.0680855656118608,0.0225680401699227
"inflation","unemployment",2,-0.23344066868801,-0.083745315459286,0.0683517034744381
"inflation","unemployment",3,-0.194901598250275,0.00435549678018236,0.193403165590467
"inflation","unemployment",4,-0.230140649179947,-0.00517739068964824,0.212381544998581
"inflation","unemployment",5,-0.191214732683546,0.0436525439283483,0.279506364262842
"inflation","unemployment",6,-0.160523737789924,0.0809281458250178,0.311258178295742
"inflation","unemployment",7,-0.0531364519039697,0.166297773535945,0.383480115162271
"inflation","unemployment",8,0.0649754665488219,0.273988462483568,0.475325929212063
"inflation","unemployment",9,0.19464006810236,0.386387957635335,0.580113499640382
"inflation","unemployment",10,0.299176075497444,0.484153111152306,0.679992641561064
"inflation","unemployment",11,0.380299528943286,0.567587738214776,0.767258405157866
"inflation","unemployment",12,0.446468448792387,0.634264465012272,0.840333998710112
"inflation","unemployment",13,0.486190629003931,0.683696120384079,0.905235021199312
"inflation","unemployment",14,0.513257132520252,0.713296931741486,0.954550669909052
"inflation","unemployment",15,0.531455980840416,0.732784308425189,0.983129378334816
"inflation","unemployment",16,0.541496472812363,0.740973287603555,1.00266685512589
"inflation","unemployment",17,0.538185202039229,0.73767911174946,1.01492068182408
"inflation","unemployment",18,0.528861696458064,0.727530495532566,1.01047240982338
"inflation","unemployment",19,0.51464912405729,0.712904025822247,1.00024137935113
"inflation","unemployment",20,0.497209461871447,0.697476524493154,0.986802898075272
"inflation","unemployment",21,0.473438153976366,0.679030796375911,0.975919549510533
"inflation","unemployment",22,0.448688186151717,0.65525739159006,0.958297170040828
"inflation","unemployment",23,0.425119964538646,0.629378154935831,0.940303682210666
"inflation","unemployment",24,0.398804700587178,0.606524985208432,0.924075595842075
"inflation","tbill_rate",1,0.0404388523880384,0.141982490316812,0.245937332085941
"inflation","tbill_rate",2,0.453416654582976,0.701979491227746,0.960973107862578
"inflation","tbill_rate",3,0.2651480746728,0.606668716344364,0.953491592060659
"inflation","tbill_rate",4,0.680676684765706,1.04885797898208,1.42685247618625
"inflation","tbill_rate",5,0.900822801689163,1.30708865070274,1.72904219157097
"inflation","tbill_rate",6,0.917187584376253,1.33438034732352,1.79854211952451
"inflation","tbill_rate",7,0.922743595902129,1.35529576548478,1.85382304938979
"inflation","tbill_rate",8,0.907208037346957,1.34029493632631,1.87280285419341
"inflation","tbill_rate",9,0.865713427904591,1.29357034645562,1.84670429486838
"inflation","tbill_rate",10,0.814946325544457,1.2448612127026,1.80876026006021
"inflation","tbill_rate",11,0.753416965328313,1.1974913888472,1.77346579362203
"inflation","tbill_rate",12,0.69372399117426,1.14534147672279,1.72963380402912
"inflation","tbill_rate",13,0.642967052970336,1.10521817762501,1.6944753668285
"inflation","tbill_rate",14,0.591337032688475,1.06759214771082,1.6637955857498
"inflation","tbill_rate",15,0.555078010920896,1.03535756417886,1.63984411401907
"inflation","tbill_rate",16,0.522483862530399,1.00644297252686,1.62271095552351
"inflation","tbill_rate",17,0.491176721884816,0.979383896099408,1.61243591105335
"inflation","tbill_rate",18,0.47438251561177,0.959111865283937,1.598196632221
"inflation","tbill_rate",19,0.455637877999632,0.946783031052707,1.59265441493879
"inflation","tbill_rate",20,0.4368990350876,0.935404194735624,1.57894627225148
"inflation","tbill_rate",21,0.421711826335114,0.91957864294872,1.57521943169241
"inflation","tbill_rate",22,0.414395850668307,0.906868664677506,1.57322648310839
"inflation","tbill_rate",23,0.398342331020726,0.895216406707017,1.57984894545054
"inflation","tbill_rate",24,0.392868012411335,0.878519560437687,1.57000429868462
"unemployment","inflation",1,0,0,0
"unemployment","inflation",2,-0.329739581013729,-0.242048733154118,-0.153291347741109
"unemployment","inflation",3,-0.639407297544857,-0.473769441197781,-0.315716517216761
"unemployment","inflation",4,-0.957454240580023,-0.727163037289254,-0.506651947380883
"unemployment","inflation",5,-1.1622677163915,-0.874073098909328,-0.594698611753954
"unemployment","inflation",6,-1.27782650585222,-0.933165492659638,-0.612662498820363
"unemployment","inflation",7,-1.31782889039043,-0.933234329051012,-0.583310928075806
"unemployment","inflation",8,-1.31475666857426,-0.894284326998232,-0.522228826232705
"unemployment","inflation",9,-1.29065458751699,-0.841512407205646,-0.425216628629566
"unemployment","inflation",10,-1.25587382809509,-0.782273375493067,-0.344433106683026
"unemployment","inflation",11,-1.22077388774357,-0.709556403790967,-0.265142452942104
"unemployment","inflation",12,-1.17341037004077,-0.644424035106901,-0.187462454255608
