"coefficient","inflation","unemployment","tbill_rate","inflation_paper","unemployment_paper","tbill_rate_paper","inflation_diff","unemployment_diff","tbill_rate_diff"
"inflation_lag1",1.5088,0.0035,0.5494,1.5087,0.004,0.5493,9.9999999999989e-05,-5e-04,9.9999999999989e-05
"inflation_lag2",-0.4684,0.1016,-0.7757,-0.4678,0.1005,-0.7745,-0.000599999999999989,0.00109999999999999,-0.00119999999999998
"inflation_lag3",-0.0772,-0.1885,0.818,-0.0774,-0.1879,0.817,0.000199999999999992,-0.000599999999999989,0.001
"inflation_lag4",0.0371,0.1151,-0.4848,0.0369,0.115,-0.4851,0.000199999999999999,9.9999999999989e-05,0.000299999999999967
"Intercept",0.2925,0.3207,-0.0116,0.292,0.3222,-0.0138,5e-04,-0.0015,0.0022
"tbill_rate_lag1",-0.057,-0.021,0.7741,-0.057,-0.0211,0.7746,0,9.99999999999994e-05,-0.000499999999999945
"tbill_rate_lag2",0.0626,-0.0229,-0.0289,0.0626,-0.0229,-0.0288,0,0,-9.99999999999994e-05
"tbill_rate_lag3",-0.0075,0.0966,0.1003,-0.0073,0.0967,0.0996,-2e-04,-9.9999999999989e-05,0.000700000000000006
"tbill_rate_lag4",-0.0012,-0.0256,0.0591,-0.0013,-0.0254,0.0591,1e-04,-0.000200000000000002,0
"unemployment_lag1",-0.2663,1.273,-0.7207,-0.2664,1.2727,-0.7192,0.000100000000000044,0.000299999999999967,-0.00150000000000006
"unemployment_lag2",0.1971,-0.3097,0.7897,0.1967,-0.3102,0.7883,0.000399999999999984,5e-04,0.00139999999999996
"unemployment_lag3",-0.015,-0.1296,-0.3557,-0.0142,-0.1293,-0.3547,-0.000799999999999999,-0.000299999999999995,-0.001
"unemployment_lag4",0.0374,0.067,0.3114,0.0372,0.0669,0.3108,0.000200000000000006,0.000100000000000003,0.000599999999999989
