"lags","lambda","paper_frequency","replication_frequency","frequency_difference","absolute_difference"
1,0.09,10,0,-10,10
1,0.1,66,0,-66,66
1,0.13,15,0,-15,15
1,0.17,4,0,-4,4
1,0.2,2,0,-2,2
1,0.25,2,0,-2,2
1,0.31,1,0,-1,1
1,0.45,0,1,1,1
1,0.55,0,1,1,1
1,1,0,10,10,10
1,5,0,20,20,20
1,10,0,68,68,68
2,0.13,47,0,-47,47
2,0.17,27,0,-27,27
2,0.2,14,0,-14,14
2,0.24,1,0,-1,1
2,0.25,4,0,-4,4
2,0.28,1,0,-1,1
2,0.3,3,0,-3,3
2,0.31,2,0,-2,2
2,0.35,1,0,-1,1
2,1,0,7,7,7
2,5,0,29,29,29
2,10,0,64,64,64
3,0.17,23,0,-23,23
3,0.2,48,0,-48,48
3,0.24,8,0,-8,8
3,0.25,7,0,-7,7
3,0.28,3,0,-3,3
3,0.3,4,0,-4,4
3,0.31,3,0,-3,3
3,0.35,3,0,-3,3
3,0.45,1,0,-1,1
3,1,0,1,1,1
3,5,0,18,18,18
3,10,0,81,81,81
4,0.2,7,0,-7,7
4,0.24,37,0,-37,37
4,0.25,27,0,-27,27
4,0.28,17,0,-17,17
4,0.3,3,0,-3,3
4,0.31,4,0,-4,4
4,0.35,2,0,-2,2
4,0.4,2,0,-2,2
4,0.5,1,0,-1,1
4,1,0,1,1,1
4,5,0,18,18,18
4,10,0,81,81,81
5,0.24,9,0,-9,9
5,0.25,10,0,-10,10
5,0.28,8,0,-8,8
5,0.3,28,0,-28,28
5,0.31,16,0,-16,16
5,0.35,21,0,-21,21
5,0.4,2,0,-2,2
5,0.5,1,0,-1,1
5,0.55,1,0,-1,1
5,0.6,1,0,-1,1
5,0.65,2,0,-2,2
5,0.7,1,0,-1,1
5,5,0,15,15,15
5,10,0,85,85,85
6,0.28,1,0,-1,1
6,0.3,3,0,-3,3
6,0.31,26,0,-26,26
6,0.35,46,0,-46,46
6,0.4,18,0,-18,18
6,0.5,1,0,-1,1
6,0.55,2,0,-2,2
6,0.6,1,0,-1,1
6,0.65,1,0,-1,1
6,0.7,1,0,-1,1
6,5,0,18,18,18
6,10,0,82,82,82
7,0.31,2,0,-2,2
7,0.35,33,0,-33,33
7,0.4,31,0,-31,31
7,0.45,18,0,-18,18
7,0.5,4,0,-4,4
7,0.55,2,0,-2,2
7,0.6,3,0,-3,3
7,0.65,3,0,-3,3
7,0.7,1,0,-1,1
7,0.8,1,0,-1,1
7,0.9,2,0,-2,2
7,5,0,10,10,10
7,10,0,90,90,90
8,0.35,1,0,-1,1
8,0.4,19,0,-19,19
8,0.45,17,0,-17,17
8,0.5,28,0,-28,28
8,0.55,23,0,-23,23
8,0.6,3,0,-3,3
8,0.65,6,0,-6,6
8,0.7,2,0,-2,2
8,0.8,1,0,-1,1
8,5,0,8,8,8
8,10,0,92,92,92
