"lags","lambda","paper_frequency","replication_frequency","frequency_difference","absolute_difference"
1,0.09,68,100,32,32
1,0.1,32,0,-32,32
2,0.13,97,100,3,3
2,0.17,2,0,-2,2
2,0.2,1,0,-1,1
3,0.17,71,100,29,29
3,0.2,29,0,-29,29
4,0.2,89,100,11,11
4,0.24,5,0,-5,5
4,0.28,6,0,-6,6
5,0.24,16,100,84,84
5,0.25,23,0,-23,23
5,0.28,41,0,-41,41
5,0.3,6,0,-6,6
5,0.31,14,0,-14,14
6,0.28,47,100,53,53
6,0.3,15,0,-15,15
6,0.31,38,0,-38,38
7,0.31,84,100,16,16
7,0.35,16,0,-16,16
8,0.35,84,100,16,16
8,0.4,16,0,-16,16
