"rep","lags","lambda_min","best_lambda","best_log_mdd"
1,1,0.09,10,-296.896474634137
2,1,0.09,5,-305.278560157174
3,1,0.09,5,-306.394591369822
4,1,0.09,10,-304.064802945212
5,1,0.09,10,-307.130027769319
6,1,0.09,10,-300.611043980128
7,1,0.09,10,-295.947293928349
8,1,0.09,10,-299.96558680245
9,1,0.09,10,-310.313654398361
10,1,0.09,10,-311.379556269647
11,1,0.09,10,-329.800064417003
12,1,0.09,10,-323.343816065618
13,1,0.09,10,-312.853102948499
14,1,0.09,10,-315.639412188115
15,1,0.09,1,-274.840487811691
16,1,0.09,5,-288.645996940863
17,1,0.09,10,-311.688493845386
18,1,0.09,10,-312.634163014
19,1,0.09,10,-306.3889403538
20,1,0.09,5,-297.35708740694
21,1,0.09,10,-318.752398672831
22,1,0.09,10,-298.710427896881
23,1,0.09,5,-330.680538491952
24,1,0.09,1,-344.018109014386
25,1,0.09,10,-294.787417705337
26,1,0.09,10,-320.694524382287
27,1,0.09,5,-284.046774825365
28,1,0.09,10,-310.036954777762
29,1,0.09,10,-324.95800964224
30,1,0.09,10,-322.087943674539
31,1,0.09,10,-329.806888368355
32,1,0.09,10,-312.521889521097
33,1,0.09,10,-318.096820476672
34,1,0.09,10,-319.819190580504
35,1,0.09,10,-327.42687014497
36,1,0.09,10,-309.269692718658
37,1,0.09,10,-276.291069198584
38,1,0.09,10,-332.983090636755
39,1,0.09,5,-327.54911351042
40,1,0.09,0.55,-320.760328812754
41,1,0.09,5,-340.014719467679
42,1,0.09,10,-315.815136986856
43,1,0.09,10,-311.522674629828
44,1,0.09,5,-333.545047748591
45,1,0.09,10,-300.684513800321
46,1,0.09,5,-332.682314065634
47,1,0.09,5,-311.684051186042
48,1,0.09,10,-330.943747776955
49,1,0.09,10,-320.022185742365
50,1,0.09,10,-307.90968510417
51,1,0.09,10,-301.694498131883
52,1,0.09,5,-335.869198606175
53,1,0.09,10,-288.874920149684
54,1,0.09,10,-288.448223851485
55,1,0.09,10,-300.518124227682
56,1,0.09,10,-321.716709480601
57,1,0.09,5,-288.742006997901
58,1,0.09,10,-299.435769811013
59,1,0.09,1,-305.804806580622
60,1,0.09,10,-324.108507880588
61,1,0.09,10,-292.076529997698
62,1,0.09,10,-320.293840338767
63,1,0.09,10,-319.079129293621
64,1,0.09,1,-306.870353044735
65,1,0.09,10,-317.85142845636
66,1,0.09,10,-311.170810514566
67,1,0.09,10,-306.907711520694
68,1,0.09,10,-296.949139067812
69,1,0.09,10,-317.447079910321
70,1,0.09,10,-294.102344588337
71,1,0.09,10,-302.146289792343
72,1,0.09,1,-274.013329704552
73,1,0.09,10,-302.25181303808
74,1,0.09,10,-308.972781083342
75,1,0.09,10,-315.669749574758
76,1,0.09,10,-307.362906764237
77,1,0.09,5,-312.44783761733
78,1,0.09,10,-312.466018827411
79,1,0.09,5,-293.277623406378
80,1,0.09,1,-309.671781864776
