"p","lambda","horizon","variable","rmse"
2,0.1,1,"ip_growth",28.794070341601
2,0.1,1,"inflation",3.65585014355305
2,0.1,1,"unemployment",1.41025213818337
2,0.1,1,"fedfunds",0.448649713915977
2,0.1,6,"ip_growth",11.1708271520498
2,0.1,6,"inflation",4.39920199903473
2,0.1,6,"unemployment",1.95611100156284
2,0.1,6,"fedfunds",1.26994603214597
2,0.1,12,"ip_growth",9.63811415420182
2,0.1,12,"inflation",4.37854412837538
2,0.1,12,"unemployment",1.86343331189338
2,0.1,12,"fedfunds",1.68730138538413
2,0.2,1,"ip_growth",29.745082410724
2,0.2,1,"inflation",3.77049469687998
2,0.2,1,"unemployment",1.40756369098436
2,0.2,1,"fedfunds",0.606109968691713
2,0.2,6,"ip_growth",11.1757928707044
2,0.2,6,"inflation",4.37662011619333
2,0.2,6,"unemployment",1.981737076242
2,0.2,6,"fedfunds",1.58947147126908
2,0.2,12,"ip_growth",9.6427705965572
2,0.2,12,"inflation",4.32485012134582
2,0.2,12,"unemployment",1.86535970362818
2,0.2,12,"fedfunds",1.88463136640441
2,0.3,1,"ip_growth",30.3139763719061
2,0.3,1,"inflation",3.84195107555546
2,0.3,1,"unemployment",1.4079779687394
2,0.3,1,"fedfunds",0.680935823102693
2,0.3,6,"ip_growth",11.1809620215781
2,0.3,6,"inflation",4.37051464459953
2,0.3,6,"unemployment",1.99446581791203
2,0.3,6,"fedfunds",1.73955595245824
2,0.3,12,"ip_growth",9.65007954701385
2,0.3,12,"inflation",4.30452642781523
2,0.3,12,"unemployment",1.86822913894766
2,0.3,12,"fedfunds",1.99094935408372
2,0.5,1,"ip_growth",30.8034841619311
2,0.5,1,"inflation",3.91005610258451
2,0.5,1,"unemployment",1.40880461554612
2,0.5,1,"fedfunds",0.739894046379569
2,0.5,6,"ip_growth",11.1861642648608
2,0.5,6,"inflation",4.36899420652962
2,0.5,6,"unemployment",2.00469459348147
2,0.5,6,"fedfunds",1.85276577094281
2,0.5,12,"ip_growth",9.65731000557142
2,0.5,12,"inflation",4.29153513773658
2,0.5,12,"unemployment",1.87136432191083
2,0.5,12,"fedfunds",2.07507250470065
4,0.1,1,"ip_growth",29.9235307260778
4,0.1,1,"inflation",3.5952947763729
4,0.1,1,"unemployment",1.44266940272657
4,0.1,1,"fedfunds",0.547324276761054
4,0.1,6,"ip_growth",11.4889172422094
4,0.1,6,"inflation",4.24447934631336
